pathwayID,nbID
R-HSA-427589,3
R-HSA-5619066,1
R-HSA-5336415,7
R-HSA-3359471,1
R-HSA-187706,5
R-HSA-916853,2
R-HSA-3000497,4
R-HSA-209931,5
R-HSA-419037,32
R-HSA-181430,18
R-HSA-1971475,29
R-HSA-9672393,2
R-HSA-9670613,2
R-HSA-438064,65
R-HSA-110320,19
R-HSA-8956319,38
R-HSA-112412,8
R-HSA-382551,716
R-HSA-6804758,30
R-HSA-9909648,155
R-HSA-9013507,25
R-HSA-9856532,17
R-HSA-68881,2
R-HSA-1855183,14
R-HSA-5619067,1
R-HSA-2559585,34
R-HSA-8939242,8
R-HSA-418360,28
R-HSA-450282,31
R-HSA-1482839,29
R-HSA-1630316,135
R-HSA-187042,3
R-HSA-774815,53
R-HSA-2022870,21
R-HSA-9610379,173
R-HSA-167169,44
R-HSA-181431,10
R-HSA-70370,6
R-HSA-5250955,6
R-HSA-170822,36
R-HSA-112411,7
R-HSA-212436,1247
R-HSA-5632927,2
R-HSA-1296061,4
R-HSA-9700645,12
R-HSA-5579019,1
R-HSA-9662851,102
R-HSA-69601,51
R-HSA-8963889,19
R-HSA-5693568,35
R-HSA-5358508,15
R-HSA-9013508,23
R-HSA-180585,43
R-HSA-1250347,10
R-HSA-1483196,1
R-HSA-8983711,10
R-HSA-9632693,3
R-HSA-9955542,1
R-HSA-8939243,24
R-HSA-6791226,183
R-HSA-3928665,49
R-HSA-179419,61
R-HSA-9672391,3
R-HSA-9024909,2
R-HSA-9843970,39
R-HSA-9657689,3
R-HSA-2730905,34
R-HSA-9638482,52
R-HSA-166058,108
R-HSA-9702605,1
R-HSA-5619110,1
R-HSA-6791312,49
R-HSA-9851151,4
R-HSA-400508,24
R-HSA-9839383,11
R-HSA-2978092,1
R-HSA-3214847,107
R-HSA-4043911,1
R-HSA-8949664,16
R-HSA-1181150,23
R-HSA-190873,10
R-HSA-4720454,1
R-HSA-4549356,1
R-HSA-2151201,57
R-HSA-8939245,6
R-HSA-9729555,2
R-HSA-6785470,5
R-HSA-8985801,4
R-HSA-2559580,93
R-HSA-9948011,1
R-HSA-68884,13
R-HSA-9754119,5
R-HSA-5250958,8
R-HSA-983168,213
R-HSA-114508,27
R-HSA-9833110,108
R-HSA-9670439,22
R-HSA-382556,90
R-HSA-447115,56
R-HSA-3928663,15
R-HSA-5365859,22
R-HSA-8857538,6
R-HSA-9690406,11
R-HSA-9854311,20
R-HSA-190872,2
R-HSA-1222541,9
R-HSA-194002,10
R-HSA-8875791,3
R-HSA-211981,24
R-HSA-8939246,8
R-HSA-9629569,20
R-HSA-5654719,11
R-HSA-5689901,31
R-HSA-5657655,1
R-HSA-9674396,1
R-HSA-2855086,5
